"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.449912708E0,-9.788733092E-1,-2.507525808E0,-7.689000875E-1
1.459935708E0,-6.383361474E-1,-2.421427896E0,-6.384989923E-1
1.469958708E0,-8.198454157E-1,-2.315916059E0,-1.166455203E-1
1.479981708E0,-9.923058254E-1,-2.134568759E0,-8.884200990E-2
1.490004708E0,-1.313802114E0,-1.903234781E0,2.390107870E-1
1.500028708E0,-1.709610374E0,-1.578894991E0,9.413087493E-1
1.510051708E0,-1.768137787E0,-1.395541511E0,6.087659007E-1
1.520074708E0,-3.502496794E-1,-2.395990754E0,1.241077954E0
1.530097708E0,-1.359006938E-1,-1.630790200E0,3.841989058E-1
1.540120708E0,-1.609965633E0,4.245242286E-1,-8.656451941E-2
1.550144708E0,-1.488172809E0,3.578501827E-1,6.531895369E-1
1.560167708E0,-4.370820013E-1,-1.010971892E0,1.400710450E0
1.570190708E0,2.030042177E-1,-2.184429721E0,2.429984127E0
1.580213708E0,5.710148147E-1,-2.367258121E0,2.307429410E0
1.590236708E0,3.374536327E-1,-2.101436681E0,2.062755595E0
1.600260708E0,-3.187817189E-1,-1.757496439E0,1.551729997E0
1.610283708E0,-9.475173229E-1,-1.744246649E0,1.693324417E0
1.620306708E0,-1.027752231E0,-1.690589089E0,1.451896391E0
1.630329708E0,-5.411498684E-1,-1.639488518E0,1.094419845E0
1.640352708E0,1.730579951E-1,-1.524657973E0,9.164393717E-1
1.650375708E0,8.390242830E-1,-1.102521747E0,6.101084214E-1
1.660399708E0,1.377277441E0,-8.826430500E-1,1.896585327E-1
1.670422708E0,1.495930310E0,-1.180041794E0,-5.002193588E-1
1.680445708E0,1.290633107E0,-1.209895923E0,-5.551194513E-1
1.690468708E0,1.194411326E0,-1.422188442E0,-5.635271627E-1
1.700491708E0,1.172175242E0,-1.499866948E0,-1.036996095E0
1.710515708E0,1.478268795E0,-1.707263010E0,-5.778639507E-1
1.720538708E0,1.502413703E0,-1.795288748E0,-7.568887371E-1
1.730561708E0,1.158512930E0,-1.675685706E0,-8.926768720E-1
1.740584708E0,8.787736550E-1,-1.345948352E0,-1.131657254E0
1.750607708E0,4.337145898E-1,-1.601072018E0,-6.595191479E-1
1.760631708E0,-2.413175136E-2,-1.477979943E0,-9.783543688E-1
1.770654708E0,-3.725342953E-1,-1.253604152E0,-1.406946505E0
1.780677708E0,-4.022191474E-1,-9.882803097E-1,-1.790045550E0
1.790700708E0,4.541707814E-2,-8.791540164E-1,-2.072697616E0
1.800723708E0,2.452421647E-1,-6.361761859E-1,-2.152567073E0
1.810746708E0,1.405974698E-1,-1.965977159E-1,-2.327090088E0
1.820770708E0,5.037902534E-2,4.209393007E-1,-2.325969177E0
1.830793708E0,6.304029375E-2,9.741470048E-1,-1.935310267E0
1.840816708E0,-1.947628596E-1,1.438555968E0,-1.524541613E0
1.850839708E0,-8.022841805E-1,1.320066529E0,-1.150998089E0
1.860862708E0,-1.442455477E0,1.144786299E0,-1.026886259E0
1.870886708E0,-1.762083872E0,1.315489036E0,-1.381805817E0
1.880909708E0,-2.253858975E0,1.850173638E0,-2.164425811E0
1.890932708E0,-1.794342084E0,1.014676103E0,-1.649838674E0
1.900955708E0,-1.534084562E0,2.382412934E-1,-1.165903226E0
1.910978708E0,-1.048078030E0,6.553091526E-2,-1.382878781E0
1.921002708E0,-9.735514659E-1,1.406188121E-1,-1.658091434E0
1.931025708E0,-1.172245409E0,4.739375862E-1,-2.291603921E0
1.941048708E0,-1.208353719E0,4.651489288E-1,-2.244607510E0
1.951071708E0,-1.242039821E0,1.811522958E-1,-1.933853141E0
1.961094708E0,-1.083610975E0,9.897084922E-2,-1.641698765E0
1.971118708E0,-4.755005470E-1,2.286623847E-1,-1.565226540E0
1.981141708E0,9.119054407E-2,3.725518370E-1,-1.664021680E0
1.991164708E0,-1.086705029E-3,5.850460857E-1,-1.869298711E0
2.001187708E0,-4.787548149E-1,6.364296627E-1,-1.743374829E0
2.011210708E0,-8.593129519E-1,5.292136547E-1,-1.436461496E0
2.021234708E0,-8.476696837E-1,4.614555350E-1,-1.180268081E0
2.031257708E0,-8.211554843E-1,3.989809594E-1,-8.286510301E-1
2.041280708E0,-1.023243443E0,3.207308882E-1,-5.188538504E-1
2.051303708E0,-1.017373716E0,3.619850412E-1,-4.468430507E-1
2.061326708E0,-1.388962516E0,3.607585877E-1,-3.755263156E-1
2.071350708E0,-1.803005319E0,2.091908643E-1,-2.537124413E-1
2.081373708E0,-1.814348332E0,1.103448531E-1,-7.948354125E-2
2.091396708E0,-1.576426882E0,1.313720253E-1,5.417679191E-2
2.101419708E0,-1.231375085E0,2.044362009E-1,1.247667181E-1
2.111442708E0,-1.185837261E0,2.934647369E-1,1.798615229E-1
2.121465708E0,-1.326024257E0,3.452444628E-1,2.437628192E-1
2.131489708E0,-1.240116380E0,3.271213102E-1,3.771114957E-1
2.141512708E0,-1.084409997E0,2.716347420E-1,5.703198731E-1
2.151535708E0,-1.517835442E0,4.279468963E-1,7.476928210E-1
2.161558708E0,-2.536016074E0,5.778692132E-1,9.023686320E-1
2.171581708E0,-1.554624953E0,-4.572434932E-2,6.100365007E-1
2.181605708E0,-1.009015998E0,-4.851718417E-1,-6.738331318E-3
2.191628708E0,-1.002917937E0,-8.758588180E-1,-3.543944782E-1
2.201651708E0,-1.336510946E0,-1.204636060E0,-2.637012398E-1
2.211674708E0,-1.485157692E0,-1.346960797E0,-3.548125541E-1
2.221697708E0,-1.842611726E0,-1.140673075E0,-2.093852842E-1
2.231721708E0,-2.537908525E0,-6.824972436E-1,2.578230339E-1
2.241744708E0,-1.562714284E0,-8.015521091E-1,1.452699798E-1
2.251767708E0,-1.018844875E0,-9.216352075E-1,5.316522360E-2
2.261790708E0,-7.542303005E-1,-8.481666970E-1,4.256012857E-2
2.271813708E0,-8.447370127E-1,-7.351008421E-1,3.307185173E-2
2.281837708E0,-9.384213942E-1,-7.984761813E-1,1.645271999E-1
2.291860708E0,-9.068788818E-1,-8.480351347E-1,3.411511195E-1
2.301883708E0,-7.587537065E-1,-8.126010078E-1,2.616558838E-1
2.311906708E0,-4.705839157E-1,-7.594916251E-1,2.478669798E-1
2.321929708E0,-1.620225450E-1,-7.575439176E-1,2.972379452E-1
2.331953708E0,-2.691385657E-2,-7.262157056E-1,2.471308154E-1
2.341976708E0,-2.851248533E-2,-5.327743167E-1,2.571845180E-1
2.351999708E0,6.832763851E-3,-3.103988582E-1,3.499166805E-1
2.362022708E0,4.105534762E-2,-2.790642142E-1,4.068679762E-1
2.372045708E0,9.893196523E-2,-3.243029523E-1,4.519044006E-1
2.382068792E0,-1.297552702E-1,-3.005138478E-1,3.522041112E-1
2.392092792E0,-3.735815316E-1,-3.254951996E-1,2.430517977E-1
2.402115792E0,-6.732013401E-1,-3.091864380E-1,4.215082347E-1
2.412138792E0,-7.828971523E-1,-3.410034773E-1,4.620545822E-1
2.422161792E0,-7.708928186E-1,-4.311070240E-1,3.560878319E-1
2.432184792E0,-8.479702306E-1,-4.602401912E-1,2.446510112E-1
2.442208792E0,-7.902701989E-1,-5.368170816E-1,-5.724658012E-2
2.452231792E0,-5.168441623E-1,-7.474975240E-1,-2.396282530E-1
2.462254792E0,-2.956068644E-1,-9.311582753E-1,-4.202692097E-1
2.472277792E0,-1.694318444E-1,-1.060839578E0,-4.393270397E-1
2.482300792E0,6.943422407E-2,-1.130426707E0,-4.200189489E-1
2.492324792E0,2.498035777E-1,-1.134738151E0,-4.290172291E-1
2.502347792E0,3.997864133E-1,-1.195662045E0,-3.363967484E-1
2.512370792E0,5.430469975E-1,-1.226248538E0,-2.954586375E-1
2.522393792E0,7.572714373E-1,-1.181103063E0,-3.175219363E-1
2.532416792E0,8.254131344E-1,-1.016083528E0,-3.394747227E-1
2.542440792E0,6.779752994E-1,-8.061737484E-1,-4.082046497E-1
2.552463792E0,5.186690784E-1,-7.967649937E-1,-3.809086776E-1
2.562486792E0,4.870587382E-1,-8.639161724E-1,-3.692417282E-1
2.572509792E0,5.789158648E-1,-8.175208551E-1,-4.642934811E-1
2.582532792E0,5.876089203E-1,-7.356194901E-1,-4.687788802E-1
2.592556792E0,5.628459620E-1,-6.469657606E-1,-3.733032042E-1
2.602579792E0,4.629243556E-1,-5.715384328E-1,-3.062297934E-1
2.612602792E0,1.879005674E-1,-5.778434855E-1,-3.314143360E-1
2.622625792E0,-1.403229430E-1,-6.249737978E-1,-4.282676160E-1
2.632648792E0,-5.262312824E-1,-6.572726476E-1,-3.555212367E-1
2.642672792E0,-9.025408325E-1,-5.799964303E-1,-2.331507075E-1
2.652695792E0,-9.528979307E-1,-3.918494028E-1,-1.065912330E-1
2.662718792E0,-8.869793451E-1,-1.898532450E-1,1.071595824E-1
2.672741792E0,-9.145770335E-1,-6.174659729E-3,3.336286765E-1
2.682764792E0,-9.866810963E-1,2.180280536E-1,4.100576323E-1
2.692788792E0,-9.591605911E-1,3.591991353E-1,5.253243792E-1
2.702811792E0,-8.526047337E-1,2.178567302E-1,5.763694024E-1
2.712834792E0,-1.806097619E0,3.891743016E-1,8.574152380E-1
2.722857792E0,-1.770618468E0,7.019237405E-1,2.241699690E-1
2.732880792E0,-2.226678193E-1,4.091355264E-1,-4.429067051E-1
2.742904792E0,7.893746978E-1,-3.608942431E-1,-1.125489610E-1
2.752927792E0,6.816844806E-1,-7.729989856E-1,-4.658886015E-1
2.762950792E0,2.915258002E-1,-8.398238897E-1,-1.184609638E0
2.772973792E0,-2.496123737E-1,-9.390599102E-1,-1.258706140E0
2.782996792E0,-3.049223560E-1,-1.153883690E0,-1.421572731E0
2.793019792E0,3.259387109E-1,-1.186941508E0,-1.592853464E0
2.803043792E0,8.197606310E-1,-1.138572755E0,-1.233867168E0
2.813066792E0,8.222287408E-1,-9.583171302E-1,-8.947245669E-1
2.823089792E0,5.204317215E-1,-6.129758960E-1,-9.139806175E-1
2.833112792E0,2.533803195E-1,-4.889716548E-1,-8.523948187E-1
2.843135792E0,1.812288943E-1,-7.586429018E-1,-5.598516029E-1
2.853159792E0,3.312830660E-1,-8.348157495E-1,-7.129200143E-1
2.863182792E0,5.296024945E-1,-6.142529279E-1,-1.069828210E0
2.873205792E0,6.180729139E-1,-4.625007248E-1,-7.621874839E-1
2.883228792E0,3.411008334E-1,-3.069665426E-1,-1.729208779E-1
2.893251792E0,2.028817186E-1,-5.883409917E-2,1.089692956E-1
2.903275792E0,2.669876674E-1,2.612886786E-2,3.862197036E-1
2.913298792E0,2.854704237E-1,8.065123022E-2,5.489301735E-1
2.923321792E0,3.432277581E-1,1.400121635E-1,4.704313034E-1
2.933344792E0,4.300059932E-1,1.467768073E-1,3.651703119E-1
2.943367792E0,4.123158270E-1,1.020953089E-1,5.355599302E-1
2.953391792E0,3.888617679E-1,4.582989156E-2,4.755628198E-1
2.963414792E0,1.664281297E-1,4.579305410E-2,4.395352006E-1
2.973437792E0,-2.098779121E-1,8.007586420E-2,4.880711836E-1
2.983460792E0,-1.989231536E-1,1.954273957E-1,3.000621504E-1
2.993483792E0,3.055035692E-1,2.758055609E-1,2.013307446E-1
3.003507792E0,7.872045037E-1,2.555823809E-1,2.454877478E-1
3.013530792E0,7.438438913E-1,2.315415537E-1,2.360596973E-1
3.023553792E0,3.003132883E-1,2.144138896E-1,2.117937523E-1
3.033576792E0,-2.284431142E-1,2.103413039E-1,3.421884155E-1
3.043599792E0,-6.051540756E-1,2.185005087E-1,4.393317175E-1
3.053622792E0,-4.191041520E-1,2.340821689E-1,3.603294021E-1
3.063646792E0,1.936507192E-1,2.798518342E-1,3.354892606E-1
3.073669792E0,4.514144039E-1,3.988666463E-1,4.367712218E-1
3.083692792E0,2.200090903E-1,4.063154143E-1,5.429414552E-1
3.093715792E0,-3.431859505E-1,3.522292542E-1,5.473590267E-1
3.103738792E0,-1.059248258E0,4.100377518E-1,6.070298624E-1
3.113762792E0,-1.238180366E0,6.369132274E-1,7.453521806E-1
3.123785792E0,-6.861128694E-1,5.931222600E-1,9.788467044E-1
3.133808792E0,-1.535470060E-1,7.773019516E-1,8.273412538E-1
3.143831792E0,3.903112927E-1,7.069342196E-1,7.206114417E-1
3.153854792E0,8.349470195E-1,9.508274317E-2,3.835539579E-1
3.163878792E0,9.053036419E-1,-1.304174674E-1,-5.309201646E-1
3.173901792E0,6.955219164E-1,-2.615389395E-1,-1.137564695E0
3.183924792E0,5.993831661E-1,-8.539928627E-1,-1.249720724E0
