"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.873205792E0,-9.621517658E-1,1.625795849E-2,-3.977344558E-2
2.883228792E0,-9.547569752E-1,2.544693090E-2,-3.803147003E-2
2.893251792E0,-9.172187448E-1,2.462197095E-2,8.130976930E-3
2.903275792E0,-8.563106060E-1,1.850096136E-2,4.108360037E-2
2.913298792E0,-7.870516777E-1,1.148625929E-2,4.342677444E-2
2.923321792E0,-7.420703173E-1,3.572794795E-2,1.801831415E-3
2.933344792E0,-7.285448313E-1,1.158551276E-1,-6.239699945E-2
2.943367792E0,-6.974487305E-1,2.074944973E-1,-1.273024976E-1
2.953391792E0,-6.760808229E-1,2.628772855E-1,-1.938851774E-1
2.963414792E0,-6.396410465E-1,2.721983492E-1,-2.030754834E-1
2.973437792E0,-5.876044035E-1,2.308135480E-1,-1.502745599E-1
2.983460792E0,-5.514469147E-1,1.980856955E-1,-1.009384319E-1
2.993483792E0,-5.409704447E-1,2.001806796E-1,-1.248450354E-1
3.003507792E0,-5.392577648E-1,2.544606924E-1,-2.280577123E-1
3.013530792E0,-5.419557095E-1,3.323097825E-1,-3.379738629E-1
3.023553792E0,-5.221039653E-1,3.912279606E-1,-3.749827445E-1
3.033576792E0,-4.699250162E-1,4.005854130E-1,-3.203047216E-1
3.043599792E0,-4.024237394E-1,3.659690917E-1,-1.875192374E-1
3.053622792E0,-3.491329253E-1,3.140730262E-1,-1.000729054E-1
3.063646792E0,-3.233087957E-1,2.779099643E-1,-1.240482777E-1
3.073669792E0,-3.048919141E-1,2.776245475E-1,-1.827273667E-1
3.083692792E0,-2.915678620E-1,3.094205558E-1,-2.017271668E-1
3.093715792E0,-2.694819272E-1,3.041104078E-1,-1.519876868E-1
3.103738792E0,-2.298011035E-1,2.720510066E-1,-2.413385734E-2
3.113762792E0,-1.425426900E-1,2.231787294E-1,5.657174438E-2
3.123785792E0,-3.710841015E-2,1.965524554E-1,2.403777093E-2
3.133808792E0,1.626387239E-2,2.760292292E-1,-4.321239889E-2
3.143831792E0,4.253648967E-2,4.046271741E-1,-1.217162609E-1
3.153854792E0,2.533499151E-2,4.965924621E-1,-2.433726937E-1
3.163878792E0,-4.674772546E-2,4.993483424E-1,-2.997808456E-1
3.173901792E0,-1.258374602E-1,4.358421564E-1,-3.183382452E-1
3.183924792E0,-1.741245687E-1,3.622308075E-1,-3.083229065E-1
3.193947792E0,-2.308861315E-1,3.049606085E-1,-2.051047236E-1
3.203970792E0,-2.909886241E-1,2.620949149E-1,-7.120764256E-2
3.213994792E0,-3.481125534E-1,2.409467548E-1,2.643000521E-2
3.224017792E0,-4.021225274E-1,2.721092105E-1,9.617339820E-2
3.234040792E0,-4.749123752E-1,2.943060994E-1,1.274391413E-1
3.244063792E0,-6.119514108E-1,2.441454679E-1,1.498810649E-1
3.254086792E0,-7.333663702E-1,1.442292333E-1,1.595470309E-1
3.264110792E0,-8.477909565E-1,7.933624834E-2,1.827602088E-1
3.274133792E0,-9.760407209E-1,-1.227615587E-2,1.838301718E-1
3.284156792E0,-1.044003248E0,1.117271092E-2,1.398038566E-1
3.294179792E0,-1.064527392E0,-2.913515270E-2,1.317310780E-1
3.304202792E0,-1.117311954E0,-5.230998248E-2,1.645620018E-1
3.314226792E0,-1.249544740E0,-3.948893398E-2,1.992118955E-1
3.324249792E0,-1.421646714E0,5.150062591E-2,1.877182126E-1
3.334272792E0,-1.565990567E0,1.814347804E-1,1.760562211E-1
3.344295792E0,-1.624220610E0,3.096228242E-1,1.575499177E-1
3.354318792E0,-1.675773621E0,3.400919735E-1,1.820324808E-1
3.364342792E0,-1.782334447E0,3.181749582E-1,2.046840042E-1
3.374365792E0,-1.890227199E0,3.386861384E-1,1.955198944E-1
3.384389042E0,-1.947823405E0,4.673133492E-1,2.167918831E-1
3.394412042E0,-1.898895741E0,5.212404728E-1,2.538746297E-1
3.404435042E0,-1.763864160E0,4.640722573E-1,3.144721985E-1
3.414459042E0,-1.611972213E0,3.434310555E-1,3.211166859E-1
3.424482042E0,-1.455123544E0,1.966304183E-1,3.081313968E-1
3.434505042E0,-1.297577500E0,1.537428796E-1,3.242800832E-1
3.444528042E0,-1.101894021E0,2.301415056E-1,3.048496544E-1
3.454551042E0,-9.339128137E-1,2.514993846E-1,2.499207854E-1
3.464575042E0,-7.912802696E-1,1.434445530E-1,1.376096904E-1
3.474598042E0,-7.093080878E-1,-8.692245930E-2,6.380130351E-2
3.484621042E0,-7.271270156E-1,-2.097591609E-1,2.785395831E-2
3.494644042E0,-7.943488955E-1,-1.093721390E-1,8.553608321E-3
3.504667042E0,-8.968630433E-1,1.140857190E-1,-5.456749350E-3
3.514691042E0,-1.036565185E0,2.266244739E-1,6.382443011E-3
3.524714042E0,-1.162267923E0,2.236257643E-1,4.194256663E-2
3.534737042E0,-1.288807988E0,2.011772096E-1,7.113716751E-2
3.544760042E0,-1.425834298E0,2.068611979E-1,8.778032660E-2
