"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.096408708E0,-6.064189453E0,3.881578217E0,-7.786507874E0
2.106431708E0,-5.725144501E0,4.015848999E0,-7.702981567E0
2.116454708E0,-5.741759949E0,4.152215424E0,-7.611222382E0
2.126477708E0,-5.860014038E0,4.251309357E0,-7.520660706E0
2.136500708E0,-5.749394073E0,4.271667023E0,-7.354356537E0
2.146523708E0,-5.587430878E0,4.259841614E0,-7.142696686E0
2.156547708E0,-6.226601715E0,4.510869598E0,-6.946754150E0
2.166570708E0,-6.982380066E0,4.554728394E0,-6.825805664E0
2.176593708E0,-5.940546570E0,3.943100281E0,-7.177125092E0
2.186616708E0,-5.443130951E0,3.517086182E0,-7.817343750E0
2.196639708E0,-5.472469940E0,3.141217804E0,-8.100554810E0
2.206663708E0,-5.779032440E0,2.835553436E0,-8.031248932E0
2.216686708E0,-5.846242676E0,2.734812927E0,-8.139623566E0
2.226709708E0,-6.308032379E0,3.035387878E0,-7.942633209E0
2.236732708E0,-6.746320953E0,3.456162872E0,-7.522456970E0
2.246755708E0,-5.705834656E0,3.350332947E0,-7.674840088E0
2.256779708E0,-5.187761993E0,3.274440765E0,-7.746391296E0
2.266802708E0,-4.939129028E0,3.410956879E0,-7.752229156E0
2.276825708E0,-5.024152222E0,3.539090424E0,-7.752079468E0
2.286848708E0,-5.080884247E0,3.503763885E0,-7.583829346E0
2.296871708E0,-4.993615723E0,3.507506104E0,-7.436984711E0
2.306895708E0,-4.808750153E0,3.590583344E0,-7.508386230E0
2.316918708E0,-4.467609558E0,3.679348755E0,-7.510481873E0
2.326941708E0,-4.142934723E0,3.722608795E0,-7.452103271E0
2.336964708E0,-4.005370789E0,3.810625763E0,-7.502997437E0
2.346987708E0,-3.968996429E0,4.062851257E0,-7.468269653E0
2.357011708E0,-3.913162537E0,4.308490448E0,-7.367379456E0
2.367034708E0,-3.835923157E0,4.349205780E0,-7.302863617E0
2.377057708E0,-3.784430237E0,4.348157959E0,-7.260501709E0
2.387080792E0,-4.024530945E0,4.398902435E0,-7.367229767E0
2.397103792E0,-4.241579590E0,4.392615509E0,-7.453899536E0
2.407126792E0,-4.532424774E0,4.437971191E0,-7.234755249E0
2.417150792E0,-4.577930145E0,4.405788116E0,-7.253017273E0
2.427173792E0,-4.551135864E0,4.335135040E0,-7.341034241E0
2.437196792E0,-4.602179718E0,4.316573639E0,-7.493117981E0
2.447219792E0,-4.485123138E0,4.222718811E0,-7.802075500E0
2.457242792E0,-4.160897369E0,4.008514252E0,-7.996521149E0
2.467266792E0,-3.933370514E0,3.839365997E0,-8.178692322E0
2.477289792E0,-3.756438446E0,3.717519379E0,-8.193212128E0
2.487312792E0,-3.480412445E0,3.670367432E0,-8.194259949E0
2.497335792E0,-3.274141388E0,3.673660583E0,-8.201894073E0
2.507358792E0,-3.095562744E0,3.624562683E0,-8.110883331E0
2.517382792E0,-2.912343750E0,3.620670776E0,-8.083490295E0
2.527405792E0,-2.669249268E0,3.701502686E0,-8.106242981E0
2.537428792E0,-2.607278137E0,3.908821564E0,-8.127648468E0
2.547451792E0,-2.752476196E0,4.131708069E0,-8.187523956E0
2.557474792E0,-2.885100403E0,4.141138458E0,-8.131091309E0
2.567498792E0,-2.885399780E0,4.120182037E0,-8.124505005E0
2.577521792E0,-2.786455536E0,4.208498383E0,-8.197104034E0
2.587544792E0,-2.781665497E0,4.330794067E0,-8.165669403E0
2.597567792E0,-2.811902618E0,4.454137573E0,-8.038733368E0
2.607590792E0,-2.932252350E0,4.554578705E0,-7.964038696E0
2.617614792E0,-3.229683838E0,4.567002869E0,-7.981402588E0
2.627637792E0,-3.550317078E0,4.544399872E0,-8.051157532E0
2.637660792E0,-3.950135651E0,4.547393646E0,-7.947572937E0
2.647683792E0,-4.281995544E0,4.668042755E0,-7.807015228E0
2.657706792E0,-4.291276245E0,4.892276459E0,-7.668403473E0
2.667730792E0,-4.210144958E0,5.114863586E0,-7.422913971E0
2.677753792E0,-4.235142975E0,5.326074371E0,-7.210206299E0
2.687776792E0,-4.276756439E0,5.571414185E0,-7.135960693E0
