"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.354318792E0,5.809274673E0,-2.476269531E1,4.291827393E1
3.364342792E0,5.512611389E0,-2.572305298E1,4.291354370E1
3.374365792E0,5.446943283E0,-2.641699219E1,4.260176086E1
3.384389042E0,5.176630020E0,-2.736398315E1,4.173207092E1
3.394412042E0,4.812036514E0,-2.833621216E1,4.116436768E1
3.404435042E0,4.444692612E0,-2.916400146E1,4.092016602E1
3.414459042E0,4.205713272E0,-2.985479736E1,4.018626404E1
3.424482042E0,3.890460968E0,-3.044088745E1,4.004696655E1
3.434505042E0,3.727380753E0,-3.101660156E1,3.917846680E1
3.444528042E0,3.762073517E0,-3.175418091E1,3.860354614E1
3.454551042E0,3.773988724E0,-3.194821167E1,3.870298767E1
3.464575042E0,3.703741074E0,-3.236636353E1,3.848625183E1
3.474598042E0,3.470525742E0,-3.260910034E1,3.840760803E1
3.484621042E0,3.329778671E0,-3.279681396E1,3.845814514E1
3.494644042E0,3.568941116E0,-3.330368042E1,3.769474792E1
3.504667042E0,3.455509186E0,-3.364797974E1,3.785324097E1
3.514691042E0,3.416587830E0,-3.416326904E1,3.720825195E1
3.524714042E0,3.621517181E0,-3.453182983E1,3.727597046E1
3.534737042E0,3.420488358E0,-3.506271362E1,3.640145874E1
3.544760042E0,3.360063553E0,-3.535476685E1,3.595162964E1
3.554783042E0,3.118270874E0,-3.580343628E1,3.539627075E1
3.564806042E0,2.983640671E0,-3.622454834E1,3.535697937E1
3.574830042E0,2.811614990E0,-3.708093262E1,3.458514404E1
3.584853042E0,2.734523773E0,-3.754406738E1,3.407997131E1
3.594876042E0,2.437280655E0,-3.795541382E1,3.329650879E1
3.604899042E0,2.632831573E0,-3.858871460E1,3.294090271E1
3.614922042E0,2.439296722E0,-3.918017578E1,3.238276672E1
3.624946042E0,2.493057251E0,-3.944805908E1,3.160852051E1
3.634969042E0,2.770256042E0,-3.994097900E1,3.134236145E1
3.644992042E0,2.865795135E0,-4.039151001E1,3.111227417E1
3.655015042E0,3.073974609E0,-4.037841797E1,3.136886597E1
3.665038042E0,2.900756836E0,-4.049319458E1,3.080108643E1
3.675062042E0,3.004838943E0,-4.089968872E1,3.086634827E1
3.685085042E0,2.944589615E0,-4.096731567E1,3.031716919E1
3.695108042E0,2.896156311E0,-4.124520874E1,3.011778259E1
3.705131042E0,3.295585632E0,-4.144955444E1,2.964889526E1
3.715154042E0,3.412847519E0,-4.172189331E1,2.923669434E1
3.725178042E0,3.414379120E0,-4.200881958E1,2.879338074E1
3.735201042E0,3.364013672E0,-4.217010498E1,2.806033325E1
3.745224042E0,3.106634140E0,-4.234048462E1,2.781658936E1
3.755247042E0,3.159339905E0,-4.293139648E1,2.763436890E1
3.765270042E0,2.872383118E0,-4.317788696E1,2.692567444E1
3.775294042E0,2.908245087E0,-4.324334717E1,2.662715149E1
3.785317042E0,2.761665344E0,-4.378677368E1,2.593814087E1
3.795340042E0,2.920736313E0,-4.409426880E1,2.551445007E1
3.805363042E0,2.647556305E0,-4.455923462E1,2.508811951E1
3.815386042E0,2.377937317E0,-4.490484619E1,2.421893311E1
3.825410042E0,2.189083099E0,-4.549072266E1,2.320491028E1
3.835433042E0,1.771579742E0,-4.604830933E1,2.243722534E1
3.845456042E0,1.548789978E0,-4.654553223E1,2.188293457E1
