timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,X,Y,Z,timestamp,latitude,longitude,altitude,speed,course,hacc
1688555097035.0,-2.57749,3.38072,6.490653,1688555097010.0,-0.251528,-0.401958,1.549763,1688555097025.0,15.265549,-32.895203,-38.11116,1688555097026.0,-69.017067,-23.086197,9.166656,,,,,,,
1688555097135.0,-0.979413,3.167264,14.646143,1688555097111.0,-0.36131,-1.599276,2.041839,1688555097126.0,4.122795,-25.107605,-40.717377,1688555097126.0,-77.11643,-16.964056,0.220474,,,,,,,
1688555097236.0,2.166445,3.160378,6.69857,1688555097211.0,1.350193,0.558433,2.296086,1688555097226.0,-0.931862,-31.680634,-35.399872,1688555097226.0,-93.898897,-28.211925,1.540774,,,,,,,
1688555097336.0,4.12138,2.364184,7.045998,1688555097311.0,0.06405,0.622025,0.573989,1688555097326.0,-3.343506,-32.20343,-34.43161,1688555097327.0,-102.139563,-30.710524,2.121916,,,,,,,
1688555097436.0,-0.998124,5.447173,10.850636,1688555097411.0,-0.876465,-1.01689,-0.910576,1688555097426.0,2.151344,-31.819855,-35.95961,1688555097427.0,-97.156482,-28.382174,8.226533,,,,,,,
1688555097536.0,-1.595682,5.653144,7.295679,1688555097512.0,1.107711,-0.755973,-0.618702,1688555097527.0,3.547714,-34.878448,-31.610962,1688555097527.0,-97.234213,-34.55423,11.802947,,,,,,,
1688555097637.0,-2.461631,6.41027,6.938821,1688555097612.0,0.303159,0.241561,0.124167,1688555097627.0,6.653534,-36.490448,-29.336777,1688555097627.0,-92.828517,-36.411624,14.742604,,,,,,,
1688555097737.0,-2.029779,5.659431,8.327633,1688555097712.0,0.035733,-0.592318,0.703309,1688555097727.0,4.457054,-36.535431,-29.88533,1688555097727.0,-95.69576,-36.917853,11.463439,,,,,,,
1688555097837.0,-1.183738,5.774093,7.446415,1688555097812.0,0.045062,0.058011,-0.325274,1688555097827.0,1.932823,-37.291412,-27.989822,1688555097828.0,-95.122471,-38.704345,7.626458,,,,,,,
1688555097937.0,-0.107776,7.209907,7.377708,1688555097912.0,-0.004159,0.111635,0.577895,1688555097927.0,1.361763,-37.660492,-28.294754,1688555097928.0,-99.228334,-39.17328,7.357948,,,,,,,
1688555098037.0,-1.078807,5.938601,8.066725,1688555098013.0,-0.431636,0.037154,0.291053,1688555098028.0,0.716309,-36.695221,-28.936569,1688555098028.0,-101.113763,-37.628825,6.818587,,,,,,,
1688555098138.0,-0.553399,6.074518,7.22263,1688555098113.0,0.016932,-0.016541,0.004396,1688555098128.0,-0.47448,-36.187683,-29.19606,1688555098128.0,-102.277335,-37.803652,5.843008,,,,,,,
,,,,,,,,,,,,,,,,43.81624,-111.7846,1.0,501.422,0.176,0.0,5.182
,,,,,,,,,,,,,,,,43.81624,-111.7846,1.0,501.342,0.135,0.0,5.287
,,,,,,,,,,,,,,,,43.81624,-111.78461,1.0,501.273,0.089,0.0,5.348
,,,,,,,,,,,,,,,,43.81624,-111.78461,1.0,501.229,0.108,0.0,5.351
,,,,,,,,,,,,,,,,43.81624,-111.78461,1.0,501.164,0.057,0.0,5.462
,,,,,,,,,,,,,,,,43.81625,-111.78461,1.0,501.117,0.296,0.0,5.802
,,,,,,,,,,,,,,,,43.81624,-111.78461,1.0,501.062,0.103,0.0,6.532
