Time_s,xAccel_m_s2,yAccel_m_s2,zAccel_m_s2,xRate_rad_s,yRate_rad_s,zRate_rad_s,xMag_uT,yMag_uT,zMag_uT,e0,e1,e2,e3,u_m_s,v_m_s,w_m_s,gx_m_s2,gy_m_s2,gz_m_s2,xI_m,yI_m,zI_m,GPS_lat_deg,GPS_long_deg,Alt_m,delta_t,delta_e,delta_a,delta_r
2.810428619,-5.647045612,0.029053450,9.661675453,-0.506813586,0.094013818,0.010533312,-14.153836250,-6.285487175,50.686901093,0.941366494,-0.054891784,0.325519115,0.069666833,14.470256805,0.490339249,-0.459635049,-6.080519676,-0.565606594,7.664684296,30.288297653,2.587914944,-17.499147415,43.816472646,-111.783964330,1686.499145508,0.908977568,0.029484030,-0.261306524,-0.010050251
2.877426147,-5.641479015,0.028387785,8.777955055,-0.503725052,0.041978985,-0.000474171,-14.382666588,-7.990946293,50.381385803,0.939559102,-0.070911482,0.326409549,0.075213566,14.443232536,0.454858780,-0.489063293,-6.115404606,-0.823698461,7.613367081,31.015798569,2.706026793,-18.129190445,43.816479188,-111.783962861,1687.129150391,0.906483769,0.022113021,-0.268844217,0.007537689
2.943812370,-5.807845592,0.025143385,8.094251633,-0.508777380,0.004321933,-0.009947321,-14.454329491,-9.687089920,50.062294006,0.938001752,-0.086830094,0.325782508,0.080492742,14.412911415,0.413418651,-0.511660635,-6.126435757,-1.080870390,7.572217941,31.732458115,2.818321228,-18.756214142,43.816485633,-111.783961463,1687.756225586,0.916458845,0.061425060,-0.158291459,-0.010050251
3.007512093,-5.727496147,0.021954894,7.384368420,-0.380514055,-0.045294173,-0.015047084,-14.378043175,-11.089340210,49.792564392,0.936953902,-0.099957347,0.323952109,0.084741361,14.392273903,0.362810820,-0.536041975,-6.115366936,-1.296001673,7.547363281,32.418388367,2.921104908,-19.358182907,43.816491802,-111.783960169,1688.358154297,0.908977568,0.051597051,-0.105527639,-0.010050251
3.072566032,-5.736673832,0.018820763,6.688720703,-0.244121060,-0.081109583,-0.021757027,-14.157909393,-12.089769363,49.622489929,0.936638832,-0.109235406,0.321089536,0.087618127,14.365788460,0.300525725,-0.559580743,-6.082580566,-1.452748775,7.545313835,33.119247437,3.020834446,-19.971008301,43.816498105,-111.783958919,1688.970947266,0.907730699,0.073710077,-0.087939702,0.005025126
3.141317368,-5.746342659,0.012533307,6.067100525,-0.143960193,-0.123756826,-0.029248251,-13.784251213,-12.753361702,49.561542511,0.937124252,-0.115236275,0.317093968,0.089276075,14.339644432,0.228396803,-0.580595493,-6.026529789,-1.560959816,7.568642616,33.862422943,3.120637655,-20.613853455,43.816504788,-111.783957681,1689.613891602,0.906483769,0.083538085,-0.103015073,-0.010050251
3.208504677,-5.768501282,0.009589791,5.518593788,-0.109919809,-0.162762329,-0.045075145,-13.272037506,-13.203240395,49.583541870,0.938266635,-0.119130522,0.312033534,0.089993343,14.317264557,0.161346614,-0.599319458,-5.949186325,-1.639794469,7.613033772,34.593189240,3.213023186,-21.235036850,43.816511360,-111.783956546,1690.234985352,0.906483769,0.100737102,-0.103015073,0.005025126
3.271755219,-5.902741432,0.005295157,5.019997597,-0.091112211,-0.201723829,-0.055940192,-12.655023575,-13.557124138,49.649318695,0.939819396,-0.122059740,0.306122899,0.090165190,14.301094055,0.104955398,-0.616747916,-5.855390549,-1.706930399,7.670774937,35.286911011,3.295814037,-21.811658859,43.816517599,-111.783955512,1690.811645508,0.915211976,0.115479119,-0.087939702,-0.010050251
3.340100288,-5.785857677,0.001580715,4.486454010,-0.060912333,-0.244246289,-0.069401912,-11.835363388,-13.861009598,49.767425537,0.942014039,-0.124397710,0.298429489,0.089858860,14.297623634,0.050695706,-0.636418283,-5.730318546,-1.770701051,7.750360012,36.044841766,3.381297112,-22.424112320,43.816524415,-111.783954435,1691.424072266,0.906483769,0.088452086,-0.105527639,-0.010050251
3.404436111,-5.789011955,0.000442863,4.168395996,-0.066023543,-0.262600601,-0.083048142,-10.952602386,-14.122146606,49.895954132,0.944379985,-0.126331508,0.290234238,0.089168027,14.294054985,0.008159361,-0.647976875,-5.594427586,-1.830492735,7.835284233,36.767837524,3.458550453,-22.988740921,43.816530917,-111.783953477,1691.988769531,0.906483769,0.071253069,-0.085427135,0.005025126
