Time_s,delta_e,yRate_rad_s
3.504992485,0,-1.464079857
3.508494377,0,-1.44879353
3.511958122,0,-1.433834553
3.517396927,0,-1.410592675
3.520868301,0,-1.396002531
3.524440765,0,-1.381144643
3.52793026,0,-1.36678791
3.533437729,0,-1.344366074
3.536873817,0,-1.330607891
3.54045105,0,-1.316431403
3.543945312,0,-1.302731037
3.549432755,0,-1.281438828
3.552899361,0,-1.268206239
3.556341171,0,-1.255202413
3.559768677,0,-1.24238348
3.56572628,0,-1.22032547
3.569135666,0,-1.207921743
3.572623253,0,-1.195359111
3.576065063,0,-1.183086634
3.581890106,0,-1.162522435
3.585318565,0,-1.150621772
3.588717461,0,-1.1389395
3.592211723,0,-1.12704587
3.595736504,0,-1.115167499
3.601658821,0,-1.095408916
3.605506897,0,-1.082785368
3.610136032,0,-1.067763805
3.615608215,0,-1.050236583
3.619256973,0,-1.038727999
3.623947144,0,-1.02408421
3.627473831,0,-1.01321578
3.633785248,0,-0.993954122
3.637245178,0,-0.983577549
3.640675545,0,-0.973386645
3.644290924,0,-0.962746143
3.649808884,0,-0.946665049
3.653176308,0,-0.936997414
3.656690598,0,-0.926999271
3.660113335,0,-0.917353153
3.665722847,0,-0.901688457
3.669161797,0,-0.892228305
3.672577858,0,-0.88291657
3.67600441,0,-0.873660326
3.682124138,0,-0.857277691
3.685592651,0,-0.848141253
3.68903923,0,-0.839144588
3.692501068,0,-0.83018893
3.698723793,0,-0.814235091
3.702179909,0,-0.805516541
3.705611229,0,-0.796937227
3.709139824,0,-0.788192093
3.714473724,0,-0.775091588
3.717876434,0,-0.766847491
3.721320152,0,-0.758575797
3.724786758,0,-0.750321329
3.728235245,0,-0.74218154
3.733671188,0,-0.729461312
3.73711586,0,-0.721510112
3.740562439,0,-0.71362257
3.744002342,0,-0.705817461
3.749470711,0,-0.693515182
3.752873421,0,-0.685963094
3.756334305,0,-0.678345859
3.759699821,0,-0.671001136
3.765482903,0,-0.658483803
3.769057274,0,-0.65085572
3.772348404,0,-0.643892705
3.775797844,0,-0.636652589
3.781603813,0,-0.624567151
3.785048485,0,-0.617496431
3.788462639,0,-0.610545814
3.79190731,0,-0.603589892
3.79539299,0,-0.59660852
3.80072403,0,-0.58601886
3.804218292,0,-0.579164803
3.807900429,0,-0.572001278
3.81148243,0,-0.565092444
3.818101883,0,-0.552431405
3.821478844,0,-0.54607141
3.825090408,0,-0.539322495
3.829147339,0,-0.531804264
3.834823608,0,-0.521382809
3.838356972,0,-0.51497972
3.842577934,0,-0.507391989
3.848788261,0,-0.496334791
3.852246284,0,-0.490264207
3.85693264,0,-0.482101142
3.860561371,0,-0.475846618
3.866740227,0,-0.465282768
3.870090485,0,-0.459633529
3.873584747,0,-0.453785092
3.877134323,0,-0.447889805
3.882667542,0,-0.438771695
3.886195183,0,-0.433028996
3.889657021,0,-0.427436769
3.893074036,0,-0.421958476
3.899284363,0,-0.412075579
